INFO:2022-12-05 01:01:04:flag punishment activated! All rewards will be rectified!
INFO:2022-12-05 01:01:41:epsilon is 0.3, episode is 0
INFO:2022-12-05 01:01:52:running reward: 0.00 at episode 0, frame count 100, epsilon 0.036228897509242894
INFO:2022-12-05 01:02:02:running reward: 0.00 at episode 0, frame count 200, epsilon 0.013125330147352274
INFO:2022-12-05 01:02:14:running reward: 0.00 at episode 0, frame count 300, epsilon 0.004755162406834015
INFO:2022-12-05 01:02:24:running reward: 0.00 at episode 0, frame count 400, epsilon 0.0017227429147699447
INFO:2022-12-05 01:02:35:running reward: 0.00 at episode 0, frame count 500, epsilon 0.06471778159406795
INFO:2022-12-05 01:02:46:running reward: 0.00 at episode 0, frame count 600, epsilon 0.02344653876397055
INFO:2022-12-05 01:02:57:running reward: 0.00 at episode 0, frame count 700, epsilon 0.008494422498263801
INFO:2022-12-05 01:03:09:running reward: 0.00 at episode 0, frame count 800, epsilon 0.003077435620898062
INFO:2022-12-05 01:03:20:running reward: 0.00 at episode 0, frame count 900, epsilon 0.0011149209970080917
INFO:2022-12-05 01:03:32:running reward: 0.00 at episode 0, frame count 1000, epsilon 0.04188391254457482
INFO:2022-12-05 01:03:43:running reward: 0.00 at episode 0, frame count 1100, epsilon 0.015174079748634946
INFO:2022-12-05 01:03:52:running reward: 0.00 at episode 0, frame count 1200, epsilon 0.005497401800103737
INFO:2022-12-05 01:04:04:running reward: 0.00 at episode 0, frame count 1300, epsilon 0.0019916480638308568
INFO:2022-12-05 01:04:14:running reward: 0.00 at episode 0, frame count 1400, epsilon 0.07481966305138833
INFO:2022-12-05 01:04:25:running reward: 0.00 at episode 0, frame count 1500, epsilon 0.027106339043648356
INFO:2022-12-05 01:04:35:running reward: 0.00 at episode 0, frame count 1600, epsilon 0.009820327790631259
INFO:2022-12-05 01:04:46:running reward: 0.00 at episode 0, frame count 1700, epsilon 0.003557796490339496
INFO:2022-12-05 01:04:57:running reward: 0.00 at episode 0, frame count 1800, epsilon 0.001288950444072538
INFO:2022-12-05 01:05:06:running reward: 0.00 at episode 0, frame count 1900, epsilon 0.04842162612301505
INFO:2022-12-05 01:05:17:running reward: 0.00 at episode 0, frame count 2000, epsilon 0.017542621300415916
INFO:2022-12-05 01:05:28:running reward: 0.00 at episode 0, frame count 2100, epsilon 0.006355498291362296
